taxon,common_names
Atelerix albiventris,"[{'taxonname': 'Four-toed Hedgehog', 'primary': True, 'language': 'eng'}]"
Congosorex phillipsorum,"[{'taxonname': 'Phillips’ Congo Shrew', 'primary': True, 'language': 'eng'}]"
Crocidura allex,"[{'taxonname': 'Highlands Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'East African Highland Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura desperata,"[{'taxonname': 'Desperate Shrew', 'primary': True, 'language': 'eng'}]"
Crocidura elgonius,"[{'taxonname': 'Elgon Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura fischeri,"[{'taxonname': ""Fischer's Shrew"", 'primary': True, 'language': 'eng'}]"
Crocidura fuscomurina,"[{'taxonname': 'Tiny Musk Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Bicolored Musk Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura gracilipes,"[{'taxonname': ""Peters' Musk Shrew"", 'primary': True, 'language': 'eng'}]"
Crocidura hildegardeae,"[{'taxonname': ""Hildegarde's Shrew"", 'primary': False, 'language': 'eng'}]"
Crocidura hirta,"[{'taxonname': 'Lesser Red Musk Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura jacksoni,"[{'taxonname': ""Jackson's Shrew"", 'primary': False, 'language': 'eng'}]"
Crocidura luna,"[{'taxonname': 'Greater Gray-brown Musk Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura monax,"[{'taxonname': 'Kilimanjaro Shrew', 'primary': True, 'language': 'eng'}, {'taxonname': 'Rombo Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura montis,"[{'taxonname': 'Montane White-toothed Shrew', 'primary': True, 'language': 'eng'}]"
Crocidura nana,"[{'taxonname': 'Somali Dwarf Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Dwarf White-toothed Shrew', 'primary': True, 'language': 'eng'}]"
Crocidura nanilla,"[{'taxonname': 'Tiny White-toothed Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'Savanna Dwarf Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura nigrofusca,"[{'taxonname': 'Tenebrous Shrew', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Black Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura olivieri,"[{'taxonname': ""Olivier's Shrew"", 'primary': True, 'language': 'eng'}, {'taxonname': 'African Giant Shrew', 'primary': False, 'language': 'eng'}]"
Crocidura parvipes,"[{'taxonname': 'Small-footed Shrew', 'primary': False, 'language': 'eng'}]"
