order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
895,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=104,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_turba_104_b.jpg,,Crocidura,,
893,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=26,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=92,A.  The ratio of the second unicuspid (the 3rd upper incisor) to the least interorbital width of the cranium is less than 19%.B.  The ratio of the third unicuspid (the upper canine) to the least interorbital width of the cranium is less than 20.5%.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_26a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=104,A.  The ratio of the second unicuspid (the 3rd upper incisor) to the least interorbital width of the cranium is greater than 19%.B.  The ratio of the third unicuspid (the upper canine) to the least interorbital width of the cranium is greater than 19%.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_26b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
897,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=99,Match-page,,,,,,,,,,Crocidura,,
900,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=88,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_montis_88_b.jpg,,Crocidura,,
902,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=106,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_usambarae_106_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_usambarae_106_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_usambarae_106.jpg,,Crocidura,,
904,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=87,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_monax_87_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_monax_87_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_monax_87.jpg,,Crocidura,,
905,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=101,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_tansaniana_101_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_tansaniana_101.jpg,,Crocidura,,
903,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=31,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=87,A.  The condyloincisive length is less than 25 mm.B.  The upper toothrow is less than 11.6 mm.C.  The bimaxillary width is less than 8.2 mm.D.  The post-palatal length is less than 11.2 mm.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_31a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=101,A.  The condyloincisive length is greater than 23.8 mm.B.  The upper toothrow is greater than 10.7 mm.C.  The bimaxillary width is greater than 7.2 mm.D.  The post-palatal length is greater than 11.0 mm.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_31b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
901,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=30,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=106,A.  The condyloincisive length is less than 22.7 mm.B.  The upper toothrow is less than 9.9 mm.C.  The bimaxillary width is less than 7.1 mm.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_30a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=31,A.  The condyloincisive length is greater than 22.3 mm.B.  The upper toothrow is greater than 9.7 mm.C.  The bimaxillary width is greater than 6.7 mm.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_30b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
899,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=29,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=88,"A.  The bimaxillary width is equal to, or less than 6.6 mm.B.  The upper toothrow is less than 9.6 mm.C.  The condyloincisive length is less than 21.8 mm.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_29a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=30,"A.  The bimaxillary width is equal to, or greater than 6.6 mm.B.  The upper toothrow is greater than 9.4 mm.C.  The condyloincisive length is greater than 21.4 mm.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_29b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
907,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=82,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_luna_82_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_luna_82.jpg,,Crocidura,,
909,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=107,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_viaria_107_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_viaria_107.jpg,,Crocidura,,
